host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
0,1,Apartment,Entire home/apt,11,2,4,11,Real Bed,31,96,9,10,9,9,10,strict,200
0,1,Apartment,Entire home/apt,5,1,2,5,Real Bed,22,90,9,9,9,9,9,strict,120
0,1,Apartment,Entire home/apt,5,1,2,5,Real Bed,15,91,9,9,9,9,9,strict,125
0,1,Apartment,Entire home/apt,6,2,3,6,Real Bed,14,91,9,10,9,9,9,strict,125
0,1,Apartment,Entire home/apt,8,2,4,8,Real Bed,11,96,9,10,9,9,9,strict,160
0,1,Apartment,Entire home/apt,8,2,4,8,Real Bed,22,91,9,10,10,9,9,strict,170
0,0,House,Private room,1,0,1,1,Real Bed,22,92,9,10,10,9,9,strict,23
1,1,Apartment,Private room,1,1.5,1,1,Real Bed,512,98,10,10,10,10,10,strict,55
0,1,Apartment,Private room,2,1.5,1,2,Real Bed,428,93,10,9,9,10,9,strict,48
0,1,House,Private room,1,2,1,1,Real Bed,44,97,10,10,10,9,10,moderate,28
0,0,House,Private room,5,2.5,1,3,Real Bed,120,99,,,,,,flexible,400
0,0,Apartment,Entire home/apt,5,2,2,3,Real Bed,61,92,9,9,9,9,9,moderate,100
0,1,Apartment,Entire home/apt,3,1,1,1,Real Bed,47,92,10,10,10,10,9,strict,65
0,0,Apartment,Entire home/apt,6,1,2,3,Real Bed,114,91,9,9,10,9,9,strict,149
1,1,Apartment,Entire home/apt,4,1,1,1,Real Bed,29,87,9,10,10,10,9,strict,130
0,1,Apartment,Private room,3,1,2,2,Real Bed,43,96,10,10,10,10,9,moderate,80
1,1,Apartment,Entire home/apt,2,1,0,1,Real Bed,24,94,10,10,10,9,9,strict,45
1,0,Apartment,Entire home/apt,5,2,2,3,Real Bed,47,91,9,10,10,9,9,strict,120
0,1,Apartment,Entire home/apt,4,1,1,2,Real Bed,15,86,8,9,9,9,8,strict,90
0,1,Apartment,Entire home/apt,5,1,2,2,Real Bed,61,88,9,9,9,9,8,flexible,112
0,1,Apartment,Private room,1,1.5,1,1,Real Bed,20,93,9,10,10,9,9,strict,31
0,1,House,Private room,3,1,1,1,Real Bed,17,100,10,10,10,9,10,moderate,50
0,0,Apartment,Entire home/apt,4,1,1,2,Real Bed,60,85,8,9,9,9,8,moderate,145
0,1,Apartment,Entire home/apt,3,1,1,2,Real Bed,335,91,9,10,10,10,9,strict,90
0,0,Apartment,Entire home/apt,2,1,1,1,Airbed,23,96,10,9,10,9,9,strict,115
0,0,House,Private room,2,1,1,1,Real Bed,69,97,10,10,10,10,10,flexible,50
0,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,77,99,10,10,10,10,10,strict,128
0,1,Apartment,Entire home/apt,2,1.5,2,1,Real Bed,17,97,9,10,10,10,9,strict,92
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,28,98,9,10,10,10,10,strict,89
0,1,Bed and breakfast,Private room,2,1,1,1,Real Bed,10,98,10,10,10,10,9,flexible,75
0,1,Apartment,Entire home/apt,2,1,0,2,Real Bed,39,85,8,9,10,9,8,strict,100
1,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,91,98,10,10,10,10,10,strict,50
0,0,Apartment,Entire home/apt,4,2,2,2,Real Bed,25,95,9,10,10,10,9,strict,250
0,0,Apartment,Entire home/apt,4,2,2,3,Real Bed,18,87,9,9,9,9,9,strict,200
1,1,House,Private room,2,1,1,1,Real Bed,41,97,10,10,10,9,10,strict,45
1,1,House,Private room,1,1,1,1,Real Bed,36,95,10,10,10,9,10,strict,45
0,0,House,Entire home/apt,6,2,3,3,Real Bed,17,91,9,10,10,10,9,strict,275
0,1,Apartment,Private room,3,1,1,2,Real Bed,218,89,9,10,10,9,9,moderate,54
0,1,Apartment,Private room,1,1,1,1,Real Bed,45,98,10,10,10,10,10,moderate,34
1,1,Apartment,Entire home/apt,5,1,2,2,Real Bed,173,93,9,10,10,9,10,moderate,59
0,0,Apartment,Entire home/apt,6,1,2,2,Real Bed,96,84,8,9,9,8,8,strict,99
0,1,Apartment,Entire home/apt,6,2,3,3,Real Bed,57,97,9,10,10,9,9,strict,190
1,0,House,Private room,2,1,1,1,Real Bed,50,95,10,10,10,9,10,flexible,35
